id,gcf,number_16s,mean,sd,min,max,total_div
8961,GCF_008124345.1,6,5.47,3.29,0.0,9.0,6.61369600975281
8962,GCF_008124405.1,8,6.75,4.55,0.0,17.0,10.0711476951581
8963,GCF_008124385.1,6,5.8,3.3,0.0,9.0,7.06425721861912
8964,GCF_008124425.1,7,10.19,4.03,4.0,18.0,14.2848224511211
8965,GCF_008152105.1,7,2.86,1.77,0.0,5.0,3.5518650553787
8966,GCF_008329665.1,7,6.29,4.34,0.0,14.0,9.03772068573016
8967,GCF_008370755.1,7,0.0,0.0,0.0,0.0,0.0
8968,GCF_008375335.1,7,0.0,0.0,0.0,0.0,0.0
8969,GCF_008462425.1,7,3.9,3.11,1.0,9.0,6.20257351274664
8970,GCF_008632555.1,7,4.86,2.87,0.0,9.0,6.02958192583495
8971,GCF_008727135.1,7,3.43,3.33,0.0,9.0,5.46697939228503
8972,GCF_008632575.1,7,4.86,2.87,0.0,9.0,6.02958192583495
8973,GCF_008642395.1,7,3.14,2.15,0.0,5.0,3.82465684179077
8974,GCF_008632595.1,7,1.71,0.78,0.0,3.0,2.20492508404418
8975,GCF_008642415.1,7,3.14,3.45,0.0,11.0,5.33151213774932
8976,GCF_008727155.1,7,1.14,0.85,0.0,2.0,1.36581620940094
8977,GCF_008727175.1,7,3.14,3.37,0.0,9.0,5.05686307399662
8978,GCF_008761495.2,7,9.95,3.88,0.0,18.0,13.4029163420085
8979,GCF_008727195.1,7,2.76,3.45,0.0,9.0,4.69943277146935
8980,GCF_008761455.2,7,9.67,3.85,0.0,17.0,12.9928000237201
8981,GCF_008761475.2,7,9.95,3.88,0.0,18.0,13.4029163420085
8982,GCF_008761515.1,7,5.52,5.16,0.0,14.0,8.04821101692291
8983,GCF_008761535.2,7,4.86,3.0,0.0,8.0,5.87338115589218
8984,GCF_008807135.1,7,4.57,2.56,0.0,10.0,6.03143920317558
8985,GCF_008807155.1,7,3.14,2.15,0.0,6.0,3.98085761173353
8986,GCF_008807295.1,7,1.14,1.01,0.0,2.0,1.36581620940094
8987,GCF_008925965.1,7,3.9,3.46,0.0,8.0,6.20465893384413
8988,GCF_008823185.1,7,4.86,2.61,0.0,9.0,6.18578269577771
8989,GCF_008807655.1,7,8.48,4.61,0.0,15.0,11.7994483275455
8990,GCF_008824125.1,8,9.25,4.65,0.0,20.0,13.5640819828562
8991,GCF_008926105.1,7,3.71,3.29,0.0,7.0,5.87918113167094
8992,GCF_008926085.1,7,4.29,3.54,0.0,8.0,6.55628926059265
8993,GCF_008926145.1,7,3.14,3.37,0.0,9.0,5.05686307399662
8994,GCF_008926125.1,7,3.43,3.26,0.0,9.0,5.60430392416138
8995,GCF_008926165.1,7,3.43,3.26,0.0,9.0,5.60430392416138
8996,GCF_008926185.1,7,4.1,3.58,0.0,9.0,6.39281220414098
8997,GCF_008926305.1,7,3.14,3.37,0.0,9.0,5.05686307399662
8998,GCF_008931135.1,7,4.48,3.52,0.0,8.0,6.7444425308895
8999,GCF_008931185.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9000,GCF_008931725.1,7,7.81,4.34,0.0,17.0,11.1918170313538
9001,GCF_008931745.1,7,7.81,4.34,0.0,17.0,11.1918170313538
9002,GCF_008931765.1,7,7.81,4.34,0.0,17.0,11.1918170313538
9003,GCF_008931865.1,7,7.81,4.34,0.0,17.0,11.1918170313538
9004,GCF_008949495.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9005,GCF_009176965.1,7,7.9,5.02,0.0,13.0,11.2538647547214
9006,GCF_009363035.1,7,5.14,3.04,0.0,9.0,6.43969824412336
9007,GCF_009432415.1,7,3.33,3.58,0.0,7.0,5.38442629726732
9008,GCF_009395265.1,7,7.52,4.48,0.0,17.0,10.7817007130654
9009,GCF_009432215.1,7,4.1,3.77,0.0,9.0,6.39281220414098
9010,GCF_009577985.1,7,7.48,4.27,0.0,16.0,25.9339407706742
9011,GCF_009432635.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9012,GCF_009431955.1,7,2.57,3.65,0.0,9.0,4.5112795011725
9013,GCF_009432795.1,7,3.62,3.53,0.0,8.0,5.79454261555572
9014,GCF_009433135.1,7,3.71,3.29,0.0,7.0,5.87918113167094
9015,GCF_009432915.1,7,3.62,3.53,0.0,8.0,5.79454261555572
9016,GCF_009618015.1,7,3.05,1.94,0.0,6.0,4.01466738942825
9017,GCF_009650175.1,7,1.43,0.98,0.0,3.0,1.77593252768935
9018,GCF_009627495.1,7,3.05,3.63,0.0,9.0,4.97222455788141
9019,GCF_009648495.1,7,15.24,5.92,2.0,25.0,21.5652587034715
9020,GCF_009650035.1,7,2.76,2.07,0.0,5.0,3.46722653926349
9021,GCF_009663855.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9022,GCF_009664205.1,7,8.0,4.86,0.0,14.0,11.2555212966805
9023,GCF_009664185.1,7,8.0,4.86,0.0,14.0,11.2555212966805
9024,GCF_009671085.1,7,7.43,4.83,0.0,14.0,10.5371468723262
9025,GCF_009664305.1,7,2.95,1.63,1.0,7.0,3.93002887331303
9026,GCF_009664455.1,7,4.57,3.5,0.0,8.0,6.82908104700472
9027,GCF_009671105.1,7,5.62,2.69,1.0,10.0,7.2130448407178
9028,GCF_009671045.1,7,8.76,4.82,0.0,15.0,12.2284408839003
9029,GCF_009671125.1,7,7.33,3.55,1.0,14.0,10.302107562047
9030,GCF_009720465.1,7,9.0,3.7,1.0,16.0,13.1607468522952
9031,GCF_009738145.1,7,2.0,1.82,0.0,5.0,2.59616516426617
9032,GCF_009720605.1,7,1.14,1.85,0.0,4.0,1.64046527315364
9033,GCF_009738455.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9034,GCF_009728565.1,7,7.9,3.73,1.0,14.0,11.4158655004429
9035,GCF_009761715.1,7,0.95,1.02,0.0,2.0,1.19653917717051
9036,GCF_009832985.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9037,GCF_009832885.1,7,18.14,8.69,4.0,36.0,25.2206385130318
9038,GCF_009762385.1,6,127.2,55.37,0.0,207.0,300.69611551971
9039,GCF_009866925.2,7,7.14,3.29,0.0,13.0,10.2869458786618
9040,GCF_009866945.2,7,6.86,3.98,0.0,13.0,9.72062879043063
9041,GCF_009867015.2,7,4.76,3.86,0.0,10.0,6.23846871153885
9042,GCF_009905115.1,7,0.0,0.0,0.0,0.0,0.0
9043,GCF_009873375.1,7,2.0,3.24,0.0,7.0,3.69104686459568
9044,GCF_009867035.2,7,9.05,4.1,1.0,16.0,12.5012326703124
9045,GCF_009913415.1,7,3.43,2.29,0.0,7.0,4.50942222383187
9046,GCF_009905135.1,7,1.71,1.31,0.0,3.0,2.04872431410142
9047,GCF_009905355.1,7,0.0,0.0,0.0,0.0,0.0
9048,GCF_009909485.1,7,15.81,5.16,7.0,27.0,22.1278612370214
9049,GCF_009909505.1,7,24.05,8.33,9.0,37.0,35.5339104317192
9050,GCF_009909465.1,7,15.0,3.29,9.0,22.0,22.9489951981152
9051,GCF_009914295.1,7,4.0,2.68,0.0,8.0,5.21120656659876
9052,GCF_009931235.1,7,1.14,0.85,0.0,2.0,1.36581620940094
9053,GCF_009948655.1,7,6.19,5.64,0.0,15.0,9.22981665446513
9054,GCF_009931435.1,7,1.81,1.12,0.0,3.0,2.36016990116331
9055,GCF_009949145.1,7,5.71,3.45,2.0,14.0,8.62946164478238
9056,GCF_009949705.1,7,6.0,4.0,0.0,16.0,8.92112966926086
9057,GCF_009950125.1,7,5.62,3.25,0.0,12.0,8.3886223587244
9058,GCF_009950475.1,7,7.33,4.53,0.0,15.0,10.3000221409495
9059,GCF_009950805.1,7,9.24,5.63,0.0,18.0,13.0940286214227
9060,GCF_009951245.1,7,7.05,4.59,0.0,15.0,9.88990582266106
9061,GCF_009952125.1,7,7.33,4.25,0.0,14.0,10.334060062401
9062,GCF_009951745.1,7,6.29,3.36,0.0,12.0,9.1750452176065
9063,GCF_010365345.1,7,0.0,0.0,0.0,0.0,0.0
9064,GCF_010092405.1,7,2.67,2.18,0.0,5.0,3.24526349127193
9065,GCF_010092965.1,7,16.48,6.64,5.0,28.0,22.390937757592
9066,GCF_010365325.1,7,0.0,0.0,0.0,0.0,0.0
9067,GCF_010365425.1,7,0.0,0.0,0.0,0.0,0.0
9068,GCF_010365365.1,7,8.0,12.96,0.0,28.0,12.7136058669407
9069,GCF_010365385.1,7,0.0,0.0,0.0,0.0,0.0
9070,GCF_010365525.1,7,10.57,9.36,0.0,29.0,14.2319082916031
9071,GCF_010365545.1,7,0.0,0.0,0.0,0.0,0.0
9072,GCF_010365505.1,7,4.86,2.87,0.0,9.0,6.02958192583495
9073,GCF_010365405.1,7,0.0,0.0,0.0,0.0,0.0
9074,GCF_010365465.1,7,3.71,6.02,0.0,13.0,7.38209372919136
9075,GCF_010365485.1,7,0.0,0.0,0.0,0.0,0.0
9076,GCF_010509415.1,7,5.24,3.62,0.0,9.0,6.68053753018134
9077,GCF_010668985.1,7,3.71,4.27,0.0,13.0,5.33151213774932
9078,GCF_010669005.1,7,16.57,17.0,0.0,38.0,24.7762835379104
9079,GCF_010669025.1,7,14.86,24.07,0.0,52.0,22.1462811875741
9080,GCF_010706435.1,7,0.0,0.0,0.0,0.0,0.0
9081,GCF_011045255.1,7,5.86,3.73,0.0,12.0,8.77110312592854
9082,GCF_011044355.1,7,0.0,0.0,0.0,0.0,0.0
9083,GCF_010724935.1,7,16.62,5.32,6.0,27.0,25.0345160355258
9084,GCF_010725305.1,7,10.9,3.78,2.0,19.0,14.5454392997625
9085,GCF_011022275.1,7,3.14,2.63,0.0,6.0,3.82465684179077
9086,GCF_011045235.1,7,0.0,0.0,0.0,0.0,0.0
9087,GCF_011045215.1,7,0.0,0.0,0.0,0.0,0.0
9088,GCF_011045875.1,7,2.38,1.88,0.0,6.0,3.24712076861256
9089,GCF_011045275.1,7,5.81,3.63,0.0,11.0,8.74718212952554
9090,GCF_011045475.1,7,7.43,3.8,0.0,13.0,10.5408614270074
9091,GCF_011045295.1,7,6.1,3.56,1.0,11.0,9.15729844781395
9092,GCF_011045895.1,7,3.43,2.56,0.0,8.0,4.40985016808836
9093,GCF_011064575.1,7,7.71,3.96,2.0,13.0,10.6537378887955
9094,GCF_011330935.2,7,2.48,1.78,0.0,5.0,3.46908381660412
9095,GCF_011067085.1,7,7.43,4.64,0.0,16.0,10.6802713799813
9096,GCF_011331065.1,7,7.14,3.99,0.0,16.0,10.130745108719
9097,GCF_011331215.2,7,2.76,1.67,0.0,5.0,3.87920013489253
9098,GCF_011383085.1,7,0.0,0.0,0.0,0.0,0.0
9099,GCF_011403355.1,7,3.14,2.01,0.0,6.0,3.84353307985719
9100,GCF_011404595.1,7,4.86,2.67,0.0,9.0,6.44544359159547
9101,GCF_011404215.1,7,4.19,2.5,0.0,8.0,5.43615636020481
9102,GCF_011404355.1,7,4.48,2.66,0.0,9.0,5.84627267849322
9103,GCF_011404895.1,7,4.29,2.43,0.0,8.0,5.50287459107724
9104,GCF_011404475.1,7,3.14,3.73,0.0,9.0,4.25550667548623
9105,GCF_011492885.1,7,0.0,0.0,0.0,0.0,0.0
9106,GCF_011404755.1,7,2.1,2.02,0.0,6.0,2.83700445032415
9107,GCF_011691525.1,7,3.14,2.15,0.0,6.0,3.98085761173353
9108,GCF_011492985.1,7,3.9,2.26,0.0,7.0,4.83304274866443
9109,GCF_011492925.1,7,8.38,4.25,0.0,15.0,11.7148098114303
9110,GCF_011769865.1,7,7.14,3.89,0.0,13.0,10.130745108719
9111,GCF_011996085.1,7,3.71,2.49,0.0,7.0,4.78221401024393
9112,GCF_012044775.1,7,0.0,0.0,0.0,0.0,0.0
9113,GCF_012221365.1,7,0.0,0.0,0.0,0.0,0.0
9114,GCF_012149945.1,7,5.86,2.48,3.0,11.0,7.89201024698014
9115,GCF_012537835.1,7,1.05,0.86,0.0,2.0,1.28117769328573
9116,GCF_012221565.1,7,0.0,0.0,0.0,0.0,0.0
9117,GCF_012516455.1,7,2.67,3.37,0.0,8.0,3.65723708690097
9118,GCF_012278675.1,7,0.0,0.0,0.0,0.0,0.0
9119,GCF_012584495.1,7,1.43,1.54,0.0,5.0,2.05058159144204
9120,GCF_012934435.1,7,1.62,1.16,0.0,3.0,1.9640857979862
9121,GCF_012934495.1,7,0.0,0.0,0.0,0.0,0.0
9122,GCF_012934475.1,7,0.0,0.0,0.0,0.0,0.0
9123,GCF_012934455.1,7,3.71,2.17,0.0,6.0,4.80497831844184
9124,GCF_012934575.1,7,0.0,0.0,0.0,0.0,0.0
9125,GCF_012934515.1,7,0.0,0.0,0.0,0.0,0.0
9126,GCF_012934615.1,7,0.76,0.83,0.0,2.0,1.00838590687367
9127,GCF_012934555.1,7,0.29,0.46,0.0,1.0,0.410116318288409
9128,GCF_012934595.1,7,1.81,1.08,0.0,3.0,2.2895636001594
9129,GCF_012934535.1,7,0.0,0.0,0.0,0.0,0.0
9130,GCF_012934655.2,7,0.0,0.0,0.0,0.0,0.0
9131,GCF_012934635.1,7,26.9,4.72,17.0,36.0,38.4956902253173
9132,GCF_012934675.1,7,24.48,9.15,13.0,44.0,37.0276894653901
9133,GCF_012934695.1,7,15.81,10.99,0.0,29.0,23.6716865717394
9134,GCF_012934765.1,7,0.0,0.0,0.0,0.0,0.0
9135,GCF_012934715.1,7,0.0,0.0,0.0,0.0,0.0
9136,GCF_012974805.1,7,2.29,1.42,0.0,4.0,3.19927877580655
9137,GCF_012934785.1,7,0.57,0.51,0.0,1.0,0.682908104700472
9138,GCF_012974525.1,7,6.48,4.11,0.0,13.0,9.61525675890837
9139,GCF_012974565.1,7,0.29,0.46,0.0,1.0,0.410116318288409
9140,GCF_013004045.1,7,6.1,6.27,0.0,17.0,9.29833753437155
9141,GCF_013085865.1,7,2.0,1.38,0.0,4.0,2.47771687045624
9142,GCF_013085185.1,7,0.0,0.0,0.0,0.0,0.0
9143,GCF_013084945.1,7,17.43,8.32,0.0,27.0,26.7220954924187
9144,GCF_013085025.1,7,0.0,0.0,0.0,0.0,0.0
9145,GCF_013085205.1,7,15.43,10.21,0.0,26.0,20.9614172828643
9146,GCF_013085905.2,7,4.0,6.48,0.0,14.0,5.74162845603773
9147,GCF_013112335.1,7,0.0,0.0,0.0,0.0,0.0
9148,GCF_013122565.1,7,2.67,2.01,0.0,5.0,3.74001832567555
9149,GCF_013166855.1,7,13.71,13.53,0.0,37.0,19.6781541684811
9150,GCF_013166875.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9151,GCF_013166895.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9152,GCF_013166935.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9153,GCF_013166995.1,7,7.52,4.48,0.0,17.0,10.7817007130654
9154,GCF_013166975.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9155,GCF_013167155.1,7,3.9,3.75,0.0,9.0,6.20465893384413
9156,GCF_013166955.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9157,GCF_013167195.1,7,4.0,3.49,0.0,9.0,6.28929744995935
9158,GCF_013167015.1,7,6.0,4.0,0.0,10.0,8.60501357469407
9159,GCF_013167035.1,7,8.38,4.09,1.0,17.0,12.0120496679307
9160,GCF_013167135.1,7,4.48,3.59,0.0,9.0,6.8875670385446
9161,GCF_013167055.1,7,7.52,4.48,0.0,17.0,10.7817007130654
9162,GCF_013167075.1,7,8.38,4.65,0.0,18.0,12.0120496679307
9163,GCF_013167175.1,7,4.19,3.68,0.0,9.0,6.61477525213254
9164,GCF_013167235.1,7,3.71,3.52,0.0,9.0,6.01650566354729
9165,GCF_013167255.1,7,2.86,4.11,0.0,10.0,4.92139581946091
9166,GCF_013167275.1,7,3.71,3.52,0.0,9.0,6.01650566354729
9167,GCF_013167295.1,7,4.48,3.72,0.0,10.0,6.8875670385446
9168,GCF_013167475.1,7,3.9,3.75,0.0,9.0,6.20465893384413
9169,GCF_013167335.1,7,3.62,3.53,0.0,8.0,5.79454261555572
9170,GCF_013167315.1,7,3.62,3.53,0.0,8.0,5.79454261555572
9171,GCF_013167415.1,7,1.14,1.01,0.0,2.0,1.36581620940094
9172,GCF_013167455.1,7,2.86,3.31,0.0,8.0,4.78407128758456
9173,GCF_013167435.1,7,1.14,1.01,0.0,2.0,1.36581620940094
9174,GCF_013167355.1,7,3.33,3.17,0.0,9.0,5.38234087616982
9175,GCF_013167375.1,7,4.86,4.14,0.0,9.0,7.23919736529313
9176,GCF_013167395.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9177,GCF_013167495.1,7,5.24,3.95,0.0,10.0,7.75282843776317
9178,GCF_013167515.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9179,GCF_013167555.1,7,4.86,4.14,0.0,9.0,7.23919736529313
9180,GCF_013167535.1,7,3.14,3.37,0.0,9.0,5.05686307399662
9181,GCF_013167575.1,7,3.62,3.11,0.0,9.0,5.79245719445823
9182,GCF_013167595.1,7,3.14,3.51,0.0,9.0,5.05686307399662
9183,GCF_013167615.1,7,3.62,3.11,0.0,9.0,5.79245719445823
9184,GCF_013167635.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9185,GCF_013167655.1,7,3.81,3.54,0.0,8.0,5.98269588585257
9186,GCF_013167755.1,7,4.76,3.69,0.0,9.0,7.15455884917791
9187,GCF_013167715.1,7,1.14,0.85,0.0,2.0,1.36581620940094
9188,GCF_013167675.1,7,1.14,1.01,0.0,2.0,1.36581620940094
9189,GCF_013167775.1,7,3.14,3.37,0.0,9.0,5.05686307399662
9190,GCF_013167695.1,7,3.71,3.2,0.0,9.0,6.01442024244979
9191,GCF_013168015.1,7,2.29,3.2,0.0,8.0,4.10116318288409
9192,GCF_013167735.1,7,3.81,3.64,0.0,8.0,5.98269588585257
9193,GCF_013167815.1,7,4.48,3.67,0.0,10.0,7.02489157042095
9194,GCF_013167795.1,7,4.19,3.5,0.0,9.0,6.4774507202562
9195,GCF_013167875.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9196,GCF_013167935.1,7,0.29,0.46,0.0,1.0,0.820232636576818
9197,GCF_013167995.1,7,4.57,3.56,0.0,9.0,6.97220555465982
9198,GCF_013167975.1,7,2.57,4.17,0.0,9.0,4.5112795011725
9199,GCF_013168035.1,7,2.86,3.31,0.0,8.0,4.78407128758456
9200,GCF_013168055.1,7,3.62,3.81,0.0,8.0,5.79454261555572
9201,GCF_013168075.1,7,3.14,3.37,0.0,9.0,5.05686307399662
9202,GCF_013168095.1,7,3.43,3.33,0.0,9.0,5.46697939228503
9203,GCF_013168115.1,7,4.38,3.47,0.0,9.0,6.80292852242939
9204,GCF_013168135.1,7,1.05,0.86,0.0,2.0,1.28117769328573
9205,GCF_013168215.1,7,3.9,3.75,0.0,9.0,6.20465893384413
9206,GCF_013201195.1,7,3.52,2.58,0.0,6.0,4.47561244613716
9207,GCF_013168235.1,7,4.86,3.6,0.0,9.0,7.23919736529313
9208,GCF_013168155.1,7,3.43,3.26,0.0,9.0,5.60430392416138
9209,GCF_013168175.1,7,3.62,3.81,0.0,8.0,5.79454261555572
9210,GCF_013168195.1,7,4.19,3.59,0.0,8.0,6.4774507202562
9211,GCF_013168255.1,7,3.14,3.37,0.0,9.0,5.05686307399662
9212,GCF_013171325.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9213,GCF_013201175.1,7,2.29,2.49,0.0,6.0,3.025157720621
9214,GCF_013201235.1,7,2.0,3.24,0.0,7.0,2.87081422801886
9215,GCF_013201215.1,7,1.43,2.31,0.0,5.0,2.05058159144204
9216,GCF_013201255.1,7,1.71,1.31,0.0,3.0,2.04872431410142
9217,GCF_013201505.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9218,GCF_013201525.1,7,3.71,2.65,0.0,7.0,4.91953854212028
9219,GCF_013282195.1,3,1.33,1.15,0.0,2.0,1.27302833658963
9220,GCF_013282275.1,7,0.0,0.0,0.0,0.0,0.0
9221,GCF_013282315.1,7,4.29,2.33,0.0,9.0,5.62132288488717
9222,GCF_013315715.1,7,0.0,0.0,0.0,0.0,0.0
9223,GCF_013282335.1,7,3.43,3.65,0.0,12.0,5.74162845603773
9224,GCF_013282355.1,7,0.0,0.0,0.0,0.0,0.0
9225,GCF_013305705.1,7,0.0,0.0,0.0,0.0,0.0
9226,GCF_013340785.1,7,2.29,2.28,0.0,5.0,3.025157720621
9227,GCF_013315675.1,7,0.0,0.0,0.0,0.0,0.0
9228,GCF_013315975.1,7,0.0,0.0,0.0,0.0,0.0
9229,GCF_013315695.1,7,0.0,0.0,0.0,0.0,0.0
9230,GCF_013315735.1,7,0.0,0.0,0.0,0.0,0.0
9231,GCF_013315755.1,7,12.9,12.87,0.0,31.0,18.9042325856735
9232,GCF_013315995.1,7,0.0,0.0,0.0,0.0,0.0
9233,GCF_013317085.1,7,8.0,4.58,0.0,15.0,11.357379508903
9234,GCF_013340805.1,7,1.43,2.31,0.0,5.0,2.05058159144204
9235,GCF_013340825.1,7,0.86,1.39,0.0,3.0,1.23034895486523
9236,GCF_013342925.1,7,1.81,1.81,0.0,4.0,2.42688813203574
9237,GCF_013343595.1,7,3.33,3.17,0.0,9.0,5.38234087616982
9238,GCF_013357365.1,7,4.95,3.71,0.0,10.0,6.11422044195016
9239,GCF_013357345.1,7,8.0,4.58,0.0,15.0,11.357379508903
9240,GCF_013343615.1,7,2.29,3.7,0.0,8.0,4.10116318288409
9241,GCF_013343635.1,7,3.9,3.75,0.0,9.0,6.20465893384413
9242,GCF_013371685.1,7,2.19,1.63,0.0,4.0,2.64699390268667
9243,GCF_013372325.1,7,2.9,2.02,0.0,5.0,3.7876595831001
9244,GCF_013371725.1,7,2.0,1.64,0.0,5.0,2.61504140233259
9245,GCF_013371745.1,7,2.86,3.31,0.0,8.0,3.84539035719782
9246,GCF_013372405.1,7,3.29,1.85,0.0,7.0,4.28241441750372
9247,GCF_013372305.1,7,0.86,0.96,0.0,3.0,1.23034895486523
9248,GCF_013372345.1,7,0.0,0.0,0.0,0.0,0.0
9249,GCF_013372385.1,7,1.33,0.97,0.0,3.0,1.82861854345048
9250,GCF_013372365.1,7,3.52,2.06,0.0,6.0,4.61682504814499
9251,GCF_013374235.2,7,6.95,4.43,0.0,17.0,9.96146807648861
9252,GCF_013372425.1,7,1.33,0.97,0.0,3.0,1.82861854345048
9253,GCF_013374255.1,7,11.33,4.16,1.0,22.0,15.9163002675001
9254,GCF_013374275.1,7,16.48,4.52,10.0,27.0,23.7974657803649
9255,GCF_013374295.2,7,19.48,4.96,10.0,32.0,26.9549032745256
9256,GCF_013374315.1,7,15.71,4.35,5.0,22.0,22.6693013760259
9257,GCF_013376515.1,7,0.0,0.0,0.0,0.0,0.0
9258,GCF_013374335.1,7,0.0,0.0,0.0,0.0,0.0
9259,GCF_013376575.1,7,0.0,0.0,0.0,0.0,0.0
9260,GCF_013376895.1,7,4.38,2.38,0.0,8.0,5.56863686912604
9261,GCF_013389695.1,7,2.86,3.31,0.0,8.0,3.84539035719782
9262,GCF_013393825.1,7,16.19,5.18,6.0,28.0,22.1110704200525
9263,GCF_013389615.1,7,6.29,3.27,2.0,12.0,9.1750452176065
9264,GCF_013390265.1,7,2.57,3.65,0.0,9.0,3.69104686459568
9265,GCF_013388275.1,7,8.0,4.45,0.0,14.0,11.550376802155
9266,GCF_013391825.1,7,5.43,4.08,0.0,14.0,8.10089703268404
9267,GCF_013402895.1,7,9.14,4.61,0.0,16.0,13.600958393597
9268,GCF_013402855.1,7,7.9,4.56,1.0,15.0,11.0018064837164
9269,GCF_013394575.1,7,0.29,0.46,0.0,1.0,0.410116318288409
9270,GCF_013423805.1,7,5.9,3.21,0.0,9.0,7.31075961912068
9271,GCF_013425935.1,7,5.71,3.0,0.0,10.0,7.12260634882383
9272,GCF_013425955.1,7,1.43,2.31,0.0,5.0,2.05058159144204
9273,GCF_013426075.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9274,GCF_013426115.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9275,GCF_013426095.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9276,GCF_013459015.1,7,8.1,4.67,0.0,15.0,11.4666942388634
9277,GCF_013459175.1,7,1.14,1.85,0.0,4.0,1.64046527315364
9278,GCF_013694285.1,7,2.86,2.15,0.0,5.0,3.41454052350236
9279,GCF_013694325.1,7,2.48,1.4,0.0,5.0,3.46908381660412
9280,GCF_013591455.1,7,0.86,1.39,0.0,3.0,1.23034895486523
9281,GCF_013636045.1,7,0.0,0.0,0.0,0.0,0.0
9282,GCF_013596835.1,7,0.0,0.0,0.0,0.0,0.0
9283,GCF_013636235.1,7,0.0,0.0,0.0,0.0,0.0
9284,GCF_013694345.1,7,4.1,2.66,0.0,9.0,5.31472132078039
9285,GCF_013732895.1,7,3.14,5.09,0.0,11.0,4.5112795011725
9286,GCF_013694465.1,7,2.48,1.4,0.0,5.0,3.46908381660412
9287,GCF_013745515.1,7,3.71,6.02,0.0,13.0,5.74162845603773
9288,GCF_013798785.1,7,2.38,1.32,0.0,5.0,3.74001832567555
9289,GCF_013746655.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9290,GCF_013799825.1,7,2.95,1.99,0.0,7.0,4.56025096225237
9291,GCF_013801845.1,7,1.24,1.04,0.0,3.0,1.60665549545892
9292,GCF_013801425.1,7,1.24,1.04,0.0,3.0,1.60665549545892
9293,GCF_013800985.1,7,4.48,3.97,0.0,12.0,7.65302823826279
9294,GCF_013812875.1,7,2.38,1.47,0.0,5.0,3.32990200738714
9295,GCF_013813205.1,7,1.24,1.04,0.0,3.0,1.60665549545892
9296,GCF_013819085.1,7,2.38,1.63,0.0,5.0,3.24712076861256
9297,GCF_013813425.1,7,2.57,1.29,0.0,4.0,3.4391621090409
9298,GCF_013819325.1,7,1.62,1.75,0.0,4.0,2.23873486173889
9299,GCF_013820465.1,7,4.86,6.85,0.0,17.0,6.97197741090295
9300,GCF_013819565.1,7,1.0,1.0,0.0,2.0,1.39458122875907
9301,GCF_013820225.1,7,0.57,0.93,0.0,2.0,0.820232636576818
9302,GCF_013820845.1,7,1.14,1.39,0.0,4.0,1.64046527315364
9303,GCF_013821535.1,7,2.19,1.5,0.0,4.0,2.64699390268667
9304,GCF_013825725.1,7,0.86,1.39,0.0,3.0,1.23034895486523
9305,GCF_013822105.1,7,2.95,3.09,0.0,8.0,3.93002887331303
9306,GCF_013829265.1,7,0.86,1.39,0.0,3.0,1.23034895486523
9307,GCF_013834165.1,7,2.19,1.4,0.0,4.0,2.78431843456302
9308,GCF_013834525.1,7,1.43,1.54,0.0,3.0,1.79480876575577
9309,GCF_013838265.1,7,0.0,0.0,0.0,0.0,0.0
9310,GCF_013838465.1,7,0.57,0.6,0.0,2.0,0.820232636576818
9311,GCF_013836325.1,7,1.86,1.85,0.0,4.0,2.6249301836243
9312,GCF_013886195.1,7,1.9,1.14,0.0,4.0,2.51152664815096
9313,GCF_013886335.1,7,2.1,1.22,0.0,4.0,2.6996799184478
9314,GCF_013892435.1,7,2.67,2.87,0.0,8.0,3.65723708690097
9315,GCF_013893835.1,7,1.52,1.33,0.0,3.0,1.87944728187099
9316,GCF_013894595.1,7,2.48,1.5,0.0,4.0,3.28966263939388
9317,GCF_013899685.1,7,4.67,3.8,0.0,12.0,7.84118150855964
9318,GCF_013899845.1,7,2.38,1.32,0.0,5.0,3.74001832567555
9319,GCF_014058445.2,7,15.86,5.56,6.0,26.0,22.1648859040875
9320,GCF_013923185.1,7,0.29,0.46,0.0,1.0,0.410116318288409
9321,GCF_014075595.1,7,3.43,2.11,0.0,6.0,4.2536493981456
9322,GCF_014075335.1,7,0.0,0.0,0.0,0.0,0.0
9323,GCF_014075475.1,7,4.95,3.46,0.0,9.0,6.27042121189293
